id;product_rating;product_review;seller_rating;seller_review;delivery_rating;delivery_review;thumbnail_url;last_edited_by;last_edited_when
1;88555;../fake-data/blob/hipster.txt;52700;../fake-data/blob/hipster.txt;1001;../fake-data/blob/hipster.txt;GB Georgia;parallelism;2019-12-12T13:16:22
2;50775;../fake-data/blob/hipster.txt;21011;../fake-data/blob/hipster.txt;49910;../fake-data/blob/hipster.txt;Tasty;Computers auxiliary;2019-12-12T08:36:14
3;36009;../fake-data/blob/hipster.txt;29721;../fake-data/blob/hipster.txt;8982;../fake-data/blob/hipster.txt;Customizable;Brunei Dollar;2019-12-12T12:05:22
4;19901;../fake-data/blob/hipster.txt;78274;../fake-data/blob/hipster.txt;99984;../fake-data/blob/hipster.txt;Clothing deposit Concrete;bypassing lavender Generic Metal Chair;2019-12-12T17:51:22
5;89400;../fake-data/blob/hipster.txt;92004;../fake-data/blob/hipster.txt;52171;../fake-data/blob/hipster.txt;asynchronous parse;Multi-tiered granular extend;2019-12-13T02:17:14
6;68178;../fake-data/blob/hipster.txt;49651;../fake-data/blob/hipster.txt;88875;../fake-data/blob/hipster.txt;Yen;plug-and-play;2019-12-12T08:58:07
7;10483;../fake-data/blob/hipster.txt;80317;../fake-data/blob/hipster.txt;26794;../fake-data/blob/hipster.txt;Guinea-Bissau;implement Cheese;2019-12-12T08:21:14
8;36160;../fake-data/blob/hipster.txt;70722;../fake-data/blob/hipster.txt;40641;../fake-data/blob/hipster.txt;cross-platform;Small Savings Account;2019-12-13T00:36:13
9;95590;../fake-data/blob/hipster.txt;98593;../fake-data/blob/hipster.txt;7040;../fake-data/blob/hipster.txt;24/365 Borders Cambridgeshire;Libyan Arab Jamahiriya;2019-12-12T23:19:43
10;38377;../fake-data/blob/hipster.txt;37870;../fake-data/blob/hipster.txt;97207;../fake-data/blob/hipster.txt;Tuna world-class metrics;Dynamic Dynamic;2019-12-13T01:14:25
